pid,name,title,description,preview,url,year,stylecat,department,division
79,Valerie Steele,Shoe obsession,An astute exploration of the most outrageous shoe designs of the 21st century,https://books.google.com/books?id=DyPnMgEACAAJ,https://books.google.com/books/content?id=DyPnMgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2013,https://fit.sunyconnect.suny.edu:4699/F?func=direct&doc_number=000139184,Museum at FIT,Museum at FIT
80,Adam Geczy,Fashion and art,"For at least two centuries, fashion and art have maintained a competitive love-hate relationship. Both fashion and art construct imaginary worlds, and use a language of style to invigorate beliefs, perceptions and ideas. Until now the crossovers of fashion and art have received only scattered treatment and suffered from a dearth of theorization. As an attempt to theorize the area, this collection of new and updated essays is the most well-rounded and authoritative to date. Some of the world's foremost scholars in the field are assembled here to explore the art-fashion nexus in numerous ways: from aesthetics and performance to masquerade and media. Original and inspiring, this book will not only secure 'art-fashion' as a discrete area of study, but also suggest new critical pathways for exploring their continuing cross-pollination. Fashion and Art is essential reading for students and scholars of fashion, art history and theory, cultural studies and related fields.",https://books.google.com/books?id=hUMfAAAAQBAJ,https://books.google.com/books/content?id=hUMfAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2012,https://fit.sunyconnect.suny.edu:4699/F?func=direct&doc_number=000135491,,
81,Albert Ashforth,The rendition : a novel,"The brutal secret war to win Kosovo’s freedom from Serbia is in full swing when The Rendition takes readers behind the headlines for an inside look at the United States’ involvement. Alex Klear, a veteran intelligence officer, is sent to the Balkans on a hastily planned rendition which goes terribly bad. Alex decides it’s time to retire. However, when he is persuaded to go to Germany as part of an operation connected to the rendition, he finds himself caught between two dynamic women, an old girlfriend and the female colonel running the ‘op.’ While there, he becomes a target of the Kosovo Liberation Army, a murder suspect to the German police, and for his superiors the perfect fall guy to take the heat for a badly botched secret operation. With Kosovo’s independence declaration coming closer by the day, the secret war heats up and Alex comes to realize that he is at the center of a murky conspiracy aimed at making the United States an international pariah.",https://books.google.com/books?id=ZQsCCgAAQBAJ,https://books.google.com/books/content?id=ZQsCCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2012,https://fit.sunyconnect.suny.edu:4699/F?func=direct&doc_number=000139518,,
82,Dan Wagner,Never seeing nothing photographs,,https://books.google.com/books?id=C-3XnAAACAAJ,https://books.google.com/books/content?id=C-3XnAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2012,https://fit.sunyconnect.suny.edu:4699/F?func=direct&doc_number=000154828,,
83,Elena Romero,Free stylin’ : how hip hop changed the fashion industry,"This book sources interviews with scholars, urban designers, music experts, financial analysts, retailers, and hip hop celebrities to chronicle the compelling story of how hip hop transformed the fashion world and exploded into a $3 billion clothing industry. * A foreword by Daymond John, cofounder of FUBU, star of ABC's The Shark Tank, and author of The Display of Power and The Brand Within * A chronology of 20th-century fashion styles as well as urban fashion from the late 1970s to present * Many photographs of pioneering urban designers, hip hop fashion trends, hip hop celebrities, and more * A multicultural bibliography containing significant materials from the fields of history, music, culture, and fashion",https://books.google.com/books?id=9TBxh0BCuRkC,https://books.google.com/books/content?id=9TBxh0BCuRkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2012,https://fit.sunyconnect.suny.edu:4699/F?func=direct&doc_number=000139228,,
84,Guillermo Jiménez,ICC guide to export-import : global standards for international trade,,https://books.google.com/books?id=clh2MwEACAAJ,,2012,https://fit.sunyconnect.suny.edu:4699/F?func=direct&doc_number=000137782,International Trade and Marketing,Business & Technology
85,Hilde Jaffe,Draping for fashion design,"Draping for Fashion Design, Fifth Edition, is the definitive basic instructional text for draping in numerous fashion design programs since its original publication. This book covers all of the fundamental material for beginning and advanced study in an intensive fashion design program and prepares students for the industry. Based on current industry methods, it reflects the dramatic changes of computer integration into the basic design and pattern development process and demonstrates simplified methods wherever they are employed in the industry. Updated throughout, the fifth edition offers a new chapter on children's wear, new illustrations, and revised diagrams that enhance clarity.",https://books.google.com/books?id=x3AVAQAACAAJ,https://books.google.com/books/content?id=x3AVAQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2012,https://fit.sunyconnect.suny.edu:4699/F?func=direct&doc_number=000133776,,
86,Ingrid Giertz-Mårtenson,"Swedish fashion H&M, Acne, and much, much more",,,,2012,,,
87,Justine De Young,"Impressionism, fashion & modernity","This volume is the first to explore fashion as a critical aspect of modernity, one that paralleled and many times converged with the development of Impressionism, starting in the 1860s and continuing through the next two decades, when fashion attracted the foremost writers and artists of the day. Although they have depicted fashionable subjects throughout history, for many artists and writers, including Charles Baudelaire, Stéphane Mallarmé, Émile Zola, Gustave Caillebotte, Edgar Degas, Édouard Manet, Claude Monet, Berthe Morisot, and Pierre-Auguste Renoir, fashion became integral to the search for new literary and visual expression. In a series of essays that examine fashion and its social, cultural, and artistic context during some of the most important years of the Impressionist era--years that also gave birth to the modern fashion industry--a group of fifteen scholars, drawn from five interdisciplinary fields, examine approximately 140 Impressionist-era artworks, including those by dedicated fashion portraitists, in light of the rise of the department store, new working methods for designing clothing, and new social and technological changes that led to the democratization of fashion and, simultaneously, its ascendance as a vehicle for modernity.",https://books.google.com/books?id=5jWyuAAACAAJ&hl,https://books.google.com/books/content?id=5jWyuAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2012,https://fit.sunyconnect.suny.edu:4699/F?func=direct&doc_number=000138280,History of Art,Liberal Arts
88,Lourdes M. Font,"Summer afternoon : fashion and leisure in the Hudson Highlands, 1850-1950",,https://books.google.com/books?id=DFPmlgEACAAJ,,2012,https://fit.sunyconnect.suny.edu:4699/F?func=direct&doc_number=000141434,History of Art,Liberal Arts
89,Marguerite M Moore,"Love and war, the human side of business : the tale of the Arabic Channel","Because of the present state of the global economy and the impact that it has on earnings, companies have had to trim their assets. Among those assets are the many employees who have lost their jobs. In an effort to survive, many people have decided to start and launch their own businesses. Many of these people do not realize what starting their own business involves and the time, effort, energy and money it consumes to keep it running. In this book, the author relates the story of how The Arabic Channel was created and the experiences and obstacle which she and her husband had to overcome to keep the business going. Since the business has a cultural and ethnic flavor to it, it was exposed to world events which had a deep impact on the business. The narrative also reveals how the dynamics shifted between a loving married couple to one that became merely a business relationship. Students of entrepreneurship and those interested in the culture will find this book informative, riveting and intriguing.",https://books.google.com/books?id=Gu8XkgEACAAJ,https://books.google.com/books/content?id=Gu8XkgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2012,https://fit.sunyconnect.suny.edu:4699/F?func=direct&doc_number=000157613,,
90,Marianne R Klimchuk,Packaging design : successful product branding from concept to shelf,"The fully updated single-source guide to creating successfulpackaging designs for consumer products Now in full-color throughout, Packaging Design, SecondEdition has been fully updated to secure its place as the mostcomprehensive resource of professional information for creatingpackaging designs that serve as the marketing vehicles for consumerproducts. Packed with practical guidance, step-by-step descriptionsof the creative process, and all-important insights into thevarying perspectives of the stakeholders, the design phases, andthe production process, this book illuminates the business ofpackaging design like no other. Whether you're a designer, brand manager, or packagingmanufacturer, the highly visual coverage in Packaging Designwill be useful to you, as well as everyone else involved in theprocess of marketing consumer products. To address the most currentpackaging design objectives, this new edition offers: Fully updated coverage (35 percent new or updated) of theentire packaging design process, including the business ofpackaging design, terminology, design principles, the creativeprocess, and pre-production and production issues A new chapter that puts packaging design in the context ofbrand and business strategies A new chapter on social responsibility and sustainability All new case studies and examples that illustrate every phaseof the packaging design process A history of packaging design covered in brief to provide acontext and framework for today's business Useful appendices on portfolio preparation for the student andthe professional, along with general legal and regulatory issuesand professional practice guidelines",https://books.google.com/books?id=HZvK5QJFVkgC,https://books.google.com/books/content?id=HZvK5QJFVkgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2012,https://fit.sunyconnect.suny.edu:4699/F?func=direct&doc_number=000140965,Communication Design Pathways,Art & Design
91,Martin P. Pegler,Visual merchandising and display,"This best-selling text is for anyone in merchandising from store planners and manufacturers to visual merchandisers. Pegler zeroes in on all aspects of visual merchandising and display, from classic techniques to the most avant-garde developments. Using hundreds of textual and visual examples, the author reveals how to add interest to window and interior displays, optimizing the retailer's image and the target market.",https://books.google.com/books?id=P-iyvwEACAAJ,https://books.google.com/books/content?id=daTzAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2012,https://fit.sunyconnect.suny.edu:4699/F?func=direct&doc_number=000139178,,
92,Michael Levy,"FM 262, Retail management",,https://books.google.com/books?id=2ZNurgEACAAJ,https://books.google.com/books/content?id=WWx6CgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2012,https://fit.sunyconnect.suny.edu:4699/F?func=direct&doc_number=000149470,Fashion Business Management,Business & Technology
